image,label
"[[[0.95066026 0.95066026 0.95066026]
  [0.93427371 0.93427371 0.93427371]
  [0.94855942 0.94855942 0.94855942]
  ...
  [0.91430572 0.91430572 0.91430572]
  [0.9219888  0.9219888  0.9219888 ]
  [0.94677871 0.94677871 0.94677871]]

 [[0.94023609 0.94023609 0.94023609]
  [0.91726691 0.91726691 0.91726691]
  [0.92432973 0.92432973 0.92432973]
  ...
  [0.93503401 0.93503401 0.93503401]
  [0.91914766 0.91914766 0.91914766]
  [0.94021609 0.94021609 0.94021609]]

 [[0.94547819 0.94547819 0.94547819]
  [0.93305322 0.93305322 0.93305322]
  [0.93933573 0.93933573 0.93933573]
  ...
  [0.91996799 0.91996799 0.91996799]
  [0.915006   0.915006   0.915006  ]
  [0.9442577  0.9442577  0.9442577 ]]

 ...

 [[0.93733493 0.93733493 0.93733493]
  [0.91576631 0.91576631 0.91576631]
  [0.92312925 0.92312925 0.92312925]
  ...
  [0.92815126 0.92815126 0.92815126]
  [0.92296919 0.92296919 0.92296919]
  [0.93253301 0.93253301 0.93253301]]

 [[0.92965186 0.92965186 0.92965186]
  [0.92252901 0.92252901 0.92252901]
  [0.94007603 0.94007603 0.94007603]
  ...
  [0.92368948 0.92368948 0.92368948]
  [0.93591437 0.93591437 0.93591437]
  [0.93083233 0.93083233 0.93083233]]

 [[0.94029612 0.94029612 0.94029612]
  [0.94611845 0.94611845 0.94611845]
  [0.95092037 0.95092037 0.95092037]
  ...
  [0.91054422 0.91054422 0.91054422]
  [0.92144858 0.92144858 0.92144858]
  [0.92559024 0.92559024 0.92559024]]]",healthy
"[[[0.92681072 0.92681072 0.92681072]
  [0.93993597 0.93993597 0.93993597]
  [0.95382153 0.95382153 0.95382153]
  ...
  [0.94741897 0.94741897 0.94741897]
  [0.96122449 0.96122449 0.96122449]
  [0.93103241 0.93103241 0.93103241]]

 [[0.93605442 0.93605442 0.93605442]
  [0.92833133 0.92833133 0.92833133]
  [0.94183673 0.94183673 0.94183673]
  ...
  [0.93227291 0.93227291 0.93227291]
  [0.93397359 0.93397359 0.93397359]
  [0.92214886 0.92214886 0.92214886]]

 [[0.94595838 0.94595838 0.94595838]
  [0.92220888 0.92220888 0.92220888]
  [0.92659064 0.92659064 0.92659064]
  ...
  [0.92202881 0.92202881 0.92202881]
  [0.91488595 0.91488595 0.91488595]
  [0.93469388 0.93469388 0.93469388]]

 ...

 [[0.9267507  0.9267507  0.9267507 ]
  [0.95382153 0.95382153 0.95382153]
  [0.95284114 0.95284114 0.95284114]
  ...
  [0.92633053 0.92633053 0.92633053]
  [0.92723089 0.92723089 0.92723089]
  [0.93335334 0.93335334 0.93335334]]

 [[0.92132853 0.92132853 0.92132853]
  [0.93357343 0.93357343 0.93357343]
  [0.95346138 0.95346138 0.95346138]
  ...
  [0.93067227 0.93067227 0.93067227]
  [0.92144858 0.92144858 0.92144858]
  [0.93653461 0.93653461 0.93653461]]

 [[0.94887955 0.94887955 0.94887955]
  [0.93031212 0.93031212 0.93031212]
  [0.95452181 0.95452181 0.95452181]
  ...
  [0.9287515  0.9287515  0.9287515 ]
  [0.92735094 0.92735094 0.92735094]
  [0.95044018 0.95044018 0.95044018]]]",healthy
"[[[0.94705882 0.94705882 0.94705882]
  [0.93929572 0.93929572 0.93929572]
  [0.93893557 0.93893557 0.93893557]
  ...
  [0.92657063 0.92657063 0.92657063]
  [0.9239896  0.9239896  0.9239896 ]
  [0.93869548 0.93869548 0.93869548]]

 [[0.92597039 0.92597039 0.92597039]
  [0.92895158 0.92895158 0.92895158]
  [0.9444978  0.9444978  0.9444978 ]
  ...
  [0.92176871 0.92176871 0.92176871]
  [0.91762705 0.91762705 0.91762705]
  [0.9180072  0.9180072  0.9180072 ]]

 [[0.92420968 0.92420968 0.92420968]
  [0.93521409 0.93521409 0.93521409]
  [0.94323729 0.94323729 0.94323729]
  ...
  [0.92897159 0.92897159 0.92897159]
  [0.92146859 0.92146859 0.92146859]
  [0.9185074  0.9185074  0.9185074 ]]

 ...

 [[0.94289716 0.94289716 0.94289716]
  [0.93791517 0.93791517 0.93791517]
  [0.93559424 0.93559424 0.93559424]
  ...
  [0.93141257 0.93141257 0.93141257]
  [0.92969188 0.92969188 0.92969188]
  [0.9362545  0.9362545  0.9362545 ]]

 [[0.94615846 0.94615846 0.94615846]
  [0.93341337 0.93341337 0.93341337]
  [0.92104842 0.92104842 0.92104842]
  ...
  [0.93705482 0.93705482 0.93705482]
  [0.92721088 0.92721088 0.92721088]
  [0.92252901 0.92252901 0.92252901]]

 [[0.94401761 0.94401761 0.94401761]
  [0.92883153 0.92883153 0.92883153]
  [0.9262505  0.9262505  0.9262505 ]
  ...
  [0.93655462 0.93655462 0.93655462]
  [0.91770708 0.91770708 0.91770708]
  [0.94471789 0.94471789 0.94471789]]]",healthy
"[[[0.95948379 0.95948379 0.95948379]
  [0.94733894 0.94733894 0.94733894]
  [0.93219288 0.93219288 0.93219288]
  ...
  [0.9339936  0.9339936  0.9339936 ]
  [0.91726691 0.91726691 0.91726691]
  [0.94271709 0.94271709 0.94271709]]

 [[0.95182073 0.95182073 0.95182073]
  [0.95694278 0.95694278 0.95694278]
  [0.93981593 0.93981593 0.93981593]
  ...
  [0.92218888 0.92218888 0.92218888]
  [0.89953982 0.89953982 0.89953982]
  [0.93713485 0.93713485 0.93713485]]

 [[0.94835934 0.94835934 0.94835934]
  [0.95320128 0.95320128 0.95320128]
  [0.94401761 0.94401761 0.94401761]
  ...
  [0.93739496 0.93739496 0.93739496]
  [0.92356943 0.92356943 0.92356943]
  [0.93209284 0.93209284 0.93209284]]

 ...

 [[0.93761505 0.93761505 0.93761505]
  [0.93919568 0.93919568 0.93919568]
  [0.93987595 0.93987595 0.93987595]
  ...
  [0.92076831 0.92076831 0.92076831]
  [0.90676271 0.90676271 0.90676271]
  [0.95272109 0.95272109 0.95272109]]

 [[0.92370948 0.92370948 0.92370948]
  [0.92290916 0.92290916 0.92290916]
  [0.94079632 0.94079632 0.94079632]
  ...
  [0.94891957 0.94891957 0.94891957]
  [0.91296519 0.91296519 0.91296519]
  [0.93755502 0.93755502 0.93755502]]

 [[0.95638255 0.95638255 0.95638255]
  [0.93593437 0.93593437 0.93593437]
  [0.94145658 0.94145658 0.94145658]
  ...
  [0.94465786 0.94465786 0.94465786]
  [0.92585034 0.92585034 0.92585034]
  [0.93241297 0.93241297 0.93241297]]]",healthy
"[[[0.92609044 0.92609044 0.92609044]
  [0.93235294 0.93235294 0.93235294]
  [0.9382553  0.9382553  0.9382553 ]
  ...
  [0.91746699 0.91746699 0.91746699]
  [0.94317727 0.94317727 0.94317727]
  [0.9452581  0.9452581  0.9452581 ]]

 [[0.93109244 0.93109244 0.93109244]
  [0.93901561 0.93901561 0.93901561]
  [0.92190876 0.92190876 0.92190876]
  ...
  [0.93059224 0.93059224 0.93059224]
  [0.92771108 0.92771108 0.92771108]
  [0.93939576 0.93939576 0.93939576]]

 [[0.93647459 0.93647459 0.93647459]
  [0.93951581 0.93951581 0.93951581]
  [0.93115246 0.93115246 0.93115246]
  ...
  [0.93529412 0.93529412 0.93529412]
  [0.93835534 0.93835534 0.93835534]
  [0.92807123 0.92807123 0.92807123]]

 ...

 [[0.93783513 0.93783513 0.93783513]
  [0.92835134 0.92835134 0.92835134]
  [0.92242897 0.92242897 0.92242897]
  ...
  [0.90612245 0.90612245 0.90612245]
  [0.93243297 0.93243297 0.93243297]
  [0.94745898 0.94745898 0.94745898]]

 [[0.93351341 0.93351341 0.93351341]
  [0.94871949 0.94871949 0.94871949]
  [0.91602641 0.91602641 0.91602641]
  ...
  [0.91778711 0.91778711 0.91778711]
  [0.93681473 0.93681473 0.93681473]
  [0.9277511  0.9277511  0.9277511 ]]

 [[0.94829932 0.94829932 0.94829932]
  [0.95438175 0.95438175 0.95438175]
  [0.94035614 0.94035614 0.94035614]
  ...
  [0.93613445 0.93613445 0.93613445]
  [0.94889956 0.94889956 0.94889956]
  [0.93053221 0.93053221 0.93053221]]]",healthy
"[[[0.9032613  0.9032613  0.9032613 ]
  [0.94977991 0.94977991 0.94977991]
  [0.93633453 0.93633453 0.93633453]
  ...
  [0.9352541  0.9352541  0.9352541 ]
  [0.95396158 0.95396158 0.95396158]
  [0.93829532 0.93829532 0.93829532]]

 [[0.87745098 0.87745098 0.87745098]
  [0.90532213 0.90532213 0.90532213]
  [0.91202481 0.91202481 0.91202481]
  ...
  [0.93369348 0.93369348 0.93369348]
  [0.93221289 0.93221289 0.93221289]
  [0.93007203 0.93007203 0.93007203]]

 [[0.89669868 0.89669868 0.89669868]
  [0.90880352 0.90880352 0.90880352]
  [0.90102041 0.90102041 0.90102041]
  ...
  [0.91962785 0.91962785 0.91962785]
  [0.9217487  0.9217487  0.9217487 ]
  [0.92579032 0.92579032 0.92579032]]

 ...

 [[0.91428571 0.91428571 0.91428571]
  [0.94035614 0.94035614 0.94035614]
  [0.92222889 0.92222889 0.92222889]
  ...
  [0.91790716 0.91790716 0.91790716]
  [0.91678671 0.91678671 0.91678671]
  [0.92521008 0.92521008 0.92521008]]

 [[0.9030012  0.9030012  0.9030012 ]
  [0.92937175 0.92937175 0.92937175]
  [0.93571429 0.93571429 0.93571429]
  ...
  [0.91008403 0.91008403 0.91008403]
  [0.91902761 0.91902761 0.91902761]
  [0.95154062 0.95154062 0.95154062]]

 [[0.92677071 0.92677071 0.92677071]
  [0.9205082  0.9205082  0.9205082 ]
  [0.93917567 0.93917567 0.93917567]
  ...
  [0.93953581 0.93953581 0.93953581]
  [0.92496999 0.92496999 0.92496999]
  [0.91692677 0.91692677 0.91692677]]]",healthy
"[[[0.927491   0.927491   0.927491  ]
  [0.93273309 0.93273309 0.93273309]
  [0.93859544 0.93859544 0.93859544]
  ...
  [0.92859144 0.92859144 0.92859144]
  [0.9052621  0.9052621  0.9052621 ]
  [0.93947579 0.93947579 0.93947579]]

 [[0.90134054 0.90134054 0.90134054]
  [0.91532613 0.91532613 0.91532613]
  [0.93511405 0.93511405 0.93511405]
  ...
  [0.91958784 0.91958784 0.91958784]
  [0.88513405 0.88513405 0.88513405]
  [0.89817927 0.89817927 0.89817927]]

 [[0.91746699 0.91746699 0.91746699]
  [0.92767107 0.92767107 0.92767107]
  [0.93041216 0.93041216 0.93041216]
  ...
  [0.91332533 0.91332533 0.91332533]
  [0.92831132 0.92831132 0.92831132]
  [0.89763906 0.89763906 0.89763906]]

 ...

 [[0.9272509  0.9272509  0.9272509 ]
  [0.91494598 0.91494598 0.91494598]
  [0.91956783 0.91956783 0.91956783]
  ...
  [0.93963585 0.93963585 0.93963585]
  [0.93621449 0.93621449 0.93621449]
  [0.93169268 0.93169268 0.93169268]]

 [[0.95370148 0.95370148 0.95370148]
  [0.92026811 0.92026811 0.92026811]
  [0.92561024 0.92561024 0.92561024]
  ...
  [0.94113645 0.94113645 0.94113645]
  [0.92915166 0.92915166 0.92915166]
  [0.96026411 0.96026411 0.96026411]]

 [[0.93219288 0.93219288 0.93219288]
  [0.94029612 0.94029612 0.94029612]
  [0.94895958 0.94895958 0.94895958]
  ...
  [0.9422569  0.9422569  0.9422569 ]
  [0.93523409 0.93523409 0.93523409]
  [0.95254102 0.95254102 0.95254102]]]",healthy
"[[[0.91580632 0.91580632 0.91580632]
  [0.91416567 0.91416567 0.91416567]
  [0.89197679 0.89197679 0.89197679]
  ...
  [0.90260104 0.90260104 0.90260104]
  [0.91830732 0.91830732 0.91830732]
  [0.91554622 0.91554622 0.91554622]]

 [[0.93647459 0.93647459 0.93647459]
  [0.90736295 0.90736295 0.90736295]
  [0.88207283 0.88207283 0.88207283]
  ...
  [0.89981993 0.89981993 0.89981993]
  [0.90172069 0.90172069 0.90172069]
  [0.92352941 0.92352941 0.92352941]]

 [[0.93517407 0.93517407 0.93517407]
  [0.9232493  0.9232493  0.9232493 ]
  [0.90130052 0.90130052 0.90130052]
  ...
  [0.9007603  0.9007603  0.9007603 ]
  [0.88329332 0.88329332 0.88329332]
  [0.89441777 0.89441777 0.89441777]]

 ...

 [[0.93561425 0.93561425 0.93561425]
  [0.92284914 0.92284914 0.92284914]
  [0.94519808 0.94519808 0.94519808]
  ...
  [0.91958784 0.91958784 0.91958784]
  [0.90764306 0.90764306 0.90764306]
  [0.92004802 0.92004802 0.92004802]]

 [[0.94391757 0.94391757 0.94391757]
  [0.9347539  0.9347539  0.9347539 ]
  [0.92456983 0.92456983 0.92456983]
  ...
  [0.9267507  0.9267507  0.9267507 ]
  [0.92967187 0.92967187 0.92967187]
  [0.92288916 0.92288916 0.92288916]]

 [[0.94507803 0.94507803 0.94507803]
  [0.93809524 0.93809524 0.93809524]
  [0.9192477  0.9192477  0.9192477 ]
  ...
  [0.90968387 0.90968387 0.90968387]
  [0.94867947 0.94867947 0.94867947]
  [0.93437375 0.93437375 0.93437375]]]",healthy
"[[[0.93809524 0.93809524 0.93809524]
  [0.91516607 0.91516607 0.91516607]
  [0.92370948 0.92370948 0.92370948]
  ...
  [0.91566627 0.91566627 0.91566627]
  [0.93041216 0.93041216 0.93041216]
  [0.91734694 0.91734694 0.91734694]]

 [[0.92973189 0.92973189 0.92973189]
  [0.90986395 0.90986395 0.90986395]
  [0.93767507 0.93767507 0.93767507]
  ...
  [0.92452981 0.92452981 0.92452981]
  [0.94187675 0.94187675 0.94187675]
  [0.94419768 0.94419768 0.94419768]]

 [[0.96792717 0.96792717 0.96792717]
  [0.92366947 0.92366947 0.92366947]
  [0.93169268 0.93169268 0.93169268]
  ...
  [0.93403361 0.93403361 0.93403361]
  [0.90532213 0.90532213 0.90532213]
  [0.92843137 0.92843137 0.92843137]]

 ...

 [[0.92955182 0.92955182 0.92955182]
  [0.97118848 0.97118848 0.97118848]
  [0.91704682 0.91704682 0.91704682]
  ...
  [0.93447379 0.93447379 0.93447379]
  [0.96482593 0.96482593 0.96482593]
  [0.96220488 0.96220488 0.96220488]]

 [[0.92018808 0.92018808 0.92018808]
  [0.94671869 0.94671869 0.94671869]
  [0.93687475 0.93687475 0.93687475]
  ...
  [0.94043617 0.94043617 0.94043617]
  [0.98409364 0.98409364 0.98409364]
  [0.93897559 0.93897559 0.93897559]]

 [[0.96870748 0.96870748 0.96870748]
  [0.92218888 0.92218888 0.92218888]
  [0.93003201 0.93003201 0.93003201]
  ...
  [0.91308523 0.91308523 0.91308523]
  [0.93315326 0.93315326 0.93315326]
  [0.94355742 0.94355742 0.94355742]]]",healthy
"[[[0.94047619 0.94047619 0.94047619]
  [0.93223289 0.93223289 0.93223289]
  [0.94043617 0.94043617 0.94043617]
  ...
  [0.915006   0.915006   0.915006  ]
  [0.91360544 0.91360544 0.91360544]
  [0.9310124  0.9310124  0.9310124 ]]

 [[0.94187675 0.94187675 0.94187675]
  [0.907503   0.907503   0.907503  ]
  [0.90436174 0.90436174 0.90436174]
  ...
  [0.92430972 0.92430972 0.92430972]
  [0.89401761 0.89401761 0.89401761]
  [0.91306523 0.91306523 0.91306523]]

 [[0.93533413 0.93533413 0.93533413]
  [0.92969188 0.92969188 0.92969188]
  [0.9132453  0.9132453  0.9132453 ]
  ...
  [0.92869148 0.92869148 0.92869148]
  [0.89477791 0.89477791 0.89477791]
  [0.90698279 0.90698279 0.90698279]]

 ...

 [[0.93591437 0.93591437 0.93591437]
  [0.97068828 0.97068828 0.97068828]
  [0.93795518 0.93795518 0.93795518]
  ...
  [0.91062425 0.91062425 0.91062425]
  [0.89895958 0.89895958 0.89895958]
  [0.93041216 0.93041216 0.93041216]]

 [[0.92653061 0.92653061 0.92653061]
  [0.94539816 0.94539816 0.94539816]
  [0.92563025 0.92563025 0.92563025]
  ...
  [0.93191277 0.93191277 0.93191277]
  [0.90668267 0.90668267 0.90668267]
  [0.92026811 0.92026811 0.92026811]]

 [[0.93053221 0.93053221 0.93053221]
  [0.94603842 0.94603842 0.94603842]
  [0.94153661 0.94153661 0.94153661]
  ...
  [0.91514606 0.91514606 0.91514606]
  [0.89863946 0.89863946 0.89863946]
  [0.94667867 0.94667867 0.94667867]]]",healthy
